POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,SUBURB_NAMES,Median House Price 2022,A Crimes against the person 2023,B Property and deception offences 2023,C Drug offences 2023,D Public order and security offences 2023,E Justice procedures offences 2023,F Other offences 2023,Total Crime 2023,Estimated_Resident_Population_2021,School_Count_2022,Hospital_Count_2023,Police_Count_2023,Supermarket_Count_2023
3196,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Bonbeach, Chelsea, Chelsea Heights, Edithvale",1154125.0,172,583,49,41,167,5,1017,15314,5,0.0,1.0,1.0
3197,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Carrum, Patterson Lakes, Patterson Gardens",1262500.0,93,302,34,31,79,6,545,12115,2,0.0,0.0,1.0
3198,Southeastern municipalities and their suburbs,City of Frankston,Outer,Seaford,880000.0,222,760,66,57,237,1,1343,17359,8,0.0,0.0,1.0
3199,Southeastern municipalities and their suburbs,City of Frankston,Outer,"Frankston, Frankston South",974750.0,858,2394,190,373,1524,12,5351,23908,19,1.0,1.0,1.0
3200,Southeastern municipalities and their suburbs,City of Frankston,Outer,Frankston North,610000.0,130,263,34,30,103,3,563,19665,3,0.0,0.0,0.0
3201,Southeastern municipalities and their suburbs,City of Frankston,Outer,Carrum Downs,715000.0,261,682,62,58,217,1,1281,22262,4,0.0,1.0,1.0
3204,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,"Bentleigh, McKinnon, Ormond",1858833.3333333333,148,836,34,17,78,0,1113,25201,10,0.0,0.0,1.0
3205,Inner City municipalities and their suburbs,City of Port Phillip,Inner,South Melbourne,1850000.0,233,1281,57,82,152,0,1805,11860,3,0.0,1.0,1.0
3206,Inner City municipalities and their suburbs,City of Port Phillip,Inner,"Albert Park, Middle Park",2612500.0,53,457,8,15,29,0,562,16023,4,0.0,0.0,1.0
3207,Inner City municipalities and their suburbs,City of Port Phillip,Inner,"Port Melbourne, Port Melbourne, Garden City",1748000.0,210,1221,43,57,131,9,1671,16373,3,0.0,0.0,1.0
